Goalie,Season,Team,GP,TOI,SA,FA,Saves,GA,xGA,GSAx,GSAA,WAR,Sv%,xSv%,dSv%
Dylan Garand,25-26,NYR,3,185,96,140,91,5,10.6981562217698,5.69815622176975,5.00753280079467,1.26649230168213,0.9479166666666666,0.8885608726898978,0.05935579397676882
Elvis Merzlikins,25-26,CBJ,30,1678.61666666667,810,1234,715,95,90.6279945970745,-4.37200540292547,-10.561441993295,0.767903858484442,0.8827160493827161,0.888113586917192,-0.005397537534475916
Eric Comrie,25-26,WPG,25,1381.5,654,1010,582,72,67.8977845764602,-4.10221542353978,-3.82368279458633,0.418873184665605,0.8899082568807339,0.8961807575283482,-0.00627250064761431
Filip Gustavsson,25-26,MIN,50,2967.91666666667,1374,2115,1242,133,137.187545207562,4.18754520756185,10.2328132113737,3.20702711533613,0.9039301310043668,0.9001546250308865,0.0037755059734803087
Frederik Andersen,25-26,CAR,35,2101.86666666667,849,1290,742,107,107.705179245793,0.705179245793209,-18.4958817929722,2.02917615233558,0.8739693757361602,0.8731387759177939,0.0008305998183663066
Igor Shesterkin,25-26,NYR,51,3024.21666666667,1424,2133,1298,126,147.08578693207,21.0857869320696,22.4450698784542,6.57869349255512,0.9115168539325843,0.8967094192892766,0.014807434643307693
Ilya Sorokin,25-26,NYI,55,3226.16666666667,1529,2297,1385,144,171.502772890128,27.5027728901275,15.3908088793234,8.22266934865279,0.9058207979071289,0.8878333728645337,0.017987425042595206
Jacob Fowler,25-26,MTL,17,1010.7,446,665,405,41,50.3221498174624,9.32214981746242,5.49332947035856,2.64964684638956,0.9080717488789237,0.8871700676738511,0.02090168120507263
Jacob Markstrom,25-26,N.J,44,2544.01666666667,1112,1675,982,130,118.634071454056,-11.3659285459435,-14.0794117241284,-0.0625282070371016,0.8830935251798561,0.8933146839441942,-0.010221158764338156
Jake Allen,25-26,N.J,37,2186.56666666667,1031,1551,932,100,109.830074023863,9.83007402386278,7.47673247520106,3.7931678173739,0.903976721629486,0.8934722851368933,0.010504436492592695
Jake Oettinger,25-26,DAL,54,3194.18333333333,1371,2067,1233,138,146.983630477043,8.98363047704323,4.92007781134885,4.28695413586209,0.899343544857768,0.8927909332771387,0.006552611580629364
Jakub Dobes,25-26,MTL,43,2525.58333333333,1186,1788,1069,117,131.140873096156,14.1408730961556,6.63472814315078,4.98394328243279,0.9013490725126475,0.8894259080133593,0.011923164499288208
James Reimer,25-26,OTT,14,817.783333333333,289,499,256,33,32.6630168252159,-0.336983174784121,-2.87315646427439,0.511146170780292,0.8858131487889274,0.8869791805355851,-0.0011660317466577474
Jeremy Swayman,25-26,BOS,55,3235.28333333333,1568,2396,1423,146,172.503306556356,26.5033065563564,17.4563690796462,8.05116332958581,0.9075255102040817,0.889985136124773,0.01754037407930864
Jesper Wallstedt,25-26,MIN,35,1996.65,1020,1514,934,87,100.329826029891,13.3298260298906,19.3300360084433,4.28816650710881,0.9156862745098039,0.9016374254608912,0.014048849048912682
Jet Greaves,25-26,CBJ,55,3276.1,1534,2342,1392,142,159.998994175441,17.9989941754409,17.9120345460315,6.22190625679589,0.9074315514993481,0.8956981785036238,0.0117333729957243
Joel Hofer,25-26,STL,46,2624.65,1250,1936,1137,114,129.201058472332,15.201058472332,16.3064166770139,5.15040591263754,0.9096,0.8966391532221344,0.012960846777865576
